类型,原文件,类名/方法名,原行号,目标文件,新名称,状态,验收人,验收日期,备注
类,core.js,SoundManager,70-948,audio.js,SoundManager,待迁移,,,完整音频引擎
类,core.js,Game,951-8382,core.js+phases.js,Game+阶段类,待拆分,,,需拆分为多个阶段类
类,entities.js,Vec2,111-163,entities/mechanics.js,Vec2,待迁移,,,2D向量类
类,entities.js,MarbleDefinition,164-193,entities/mechanics.js,MarbleDefinition,待迁移,,,弹珠定义
类,entities.js,SpecialSlot,194-232,entities/mechanics.js,SpecialSlot,待迁移,,,特殊槽位
类,entities.js,FortuneWheel,233-522,entities/mechanics.js,FortuneWheel,待迁移,,,命运轮盘
类,entities.js,Peg,523-990,entities/mechanics.js,Peg,待迁移,,,弹珠机钉子
类,entities.js,DropBall,991-1965,entities/mechanics.js,DropBall,待迁移,,,弹珠球
类,entities.js,Enemy,1966-3278,entities/enemy.js,Enemy,待迁移,,,敌人类(18方法)
类,entities.js,SwordQi,3279-3334,entities/projectiles.js,SwordQi,待迁移,,,剑气
类,entities.js,SlashAnim,3335-3387,entities/projectiles.js,SlashAnim,待迁移,,,斩击动画
类,entities.js,SonSword,3388-3838,entities/projectiles.js,SonSword,待迁移,,,子剑
类,entities.js,Projectile,3839-4557,entities/projectiles.js,Projectile,待迁移,,,基础投射物
类,entities.js,CloneSpore,4558-4616,entities/effects.js,CloneSpore,待迁移,,,分身孢子
类,entities.js,Particle,4617-4829,entities/effects.js,Particle,待迁移,,,基础粒子
类,entities.js,SlashEffect,4830-4904,entities/effects.js,SlashEffect,待迁移,,,斩击效果
类,entities.js,CollectionBeam,4905-4958,entities/effects.js,CollectionBeam,待迁移,,,收集光束
类,entities.js,Shockwave,4959-5009,entities/effects.js,Shockwave,待迁移,,,冲击波
类,entities.js,LaserBeam,5010-5063,entities/projectiles.js,LaserBeam,待迁移,,,激光束
类,entities.js,FloatingText,5064-5106,entities/effects.js,FloatingText,待迁移,,,浮动文字
类,entities.js,EnergyOrb,5107-5238,entities/effects.js,EnergyOrb,待迁移,,,能量球
类,entities.js,LightningBolt,5239-5332,entities/projectiles.js,LightningBolt,待迁移,,,闪电
类,entities.js,FireWave,5333-5378,entities/projectiles.js,FireWave,待迁移,,,火焰波
类,entities.js,Player,5379-6073,entities/player.js,Player,待迁移,,,玩家类(24方法)
函数,entities.js,getAudio,27,entities/mechanics.js,getAudio,待迁移,,,获取音频上下文
函数,entities.js,adjustColorBrightness,43,entities/mechanics.js,adjustColorBrightness,待迁移,,,调整颜色亮度
函数,entities.js,lerpColor,79,entities/mechanics.js,lerpColor,待迁移,,,颜色插值
函数,entities.js,lerp,93,entities/mechanics.js,lerp,待迁移,,,线性插值
函数,entities.js,hexToRgba,97,entities/mechanics.js,hexToRgba,待迁移,,,十六进制转RGBA
函数,entities.js,showToast,156,entities/mechanics.js,showToast,待迁移,,,显示提示
函数,entities.js,rotateTowards,3373,entities/projectiles.js,rotateTowards,待迁移,,,旋转朝向
方法,core.js,Game.constructor,997,core.js,constructor,保留,,,核心初始化
方法,core.js,Game.initGame,1081,core.js,initGame,保留,,,游戏初始化
方法,core.js,Game.initStats,1028,core.js,initStats,保留,,,统计初始化
方法,core.js,Game.sys_loop,1460,core.js,sys_loop,保留,,,主游戏循环
方法,core.js,Game.sys_resize,2002,core.js,sys_resize,保留,,,窗口调整
方法,core.js,Game.sys_initGameStart,2040,core.js,sys_initGameStart,保留,,,游戏开始
方法,core.js,Game.sys_loadSaveData,2084,core.js,sys_loadSaveData,保留,,,加载存档
方法,core.js,Game.sys_saveData,2102,core.js,sys_saveData,保留,,,保存存档
方法,core.js,Game.sys_resetGame,2255,core.js,sys_resetGame,保留,,,重置游戏
方法,core.js,Game.sys_setupInputs,2295,core.js,sys_setupInputs,保留,,,设置输入
方法,core.js,Game.toggle3DMode,2379,core.js,toggle3DMode,保留,,,切换3D模式
方法,core.js,Game.input_handleOrientation,2409,core.js,input_handleOrientation,保留,,,处理方向输入
方法,core.js,Game.render_clearCanvas,1572,core.js,render_clearCanvas,保留,,,清空画布
方法,core.js,Game.render_background,1583,core.js,render_background,保留,,,渲染背景
方法,core.js,Game.render_windAnchors,1604,core.js,render_windAnchors,保留,,,渲染风锚点
方法,core.js,Game.render_butterflyPathWave,1804,core.js,render_butterflyPathWave,保留,,,渲染蝴蝶路径
方法,core.js,Game.render_singleWindMatrix,1830,core.js,render_singleWindMatrix,保留,,,渲染风矩阵
方法,core.js,Game.render_floatingTexts,1988,core.js,render_floatingTexts,保留,,,渲染浮动文字
方法,core.js,Game.meta_applyUpgrades,2057,core.js,meta_applyUpgrades,保留,,,应用升级
方法,core.js,Game.meta_addCurrency,2109,core.js,meta_addCurrency,保留,,,添加货币
方法,core.js,Game.meta_startRun,2128,core.js,meta_startRun,保留,,,开始运行
方法,core.js,Game.meta_openShop,2137,core.js,meta_openShop,保留,,,打开商店
方法,core.js,Game.meta_calculateUpgradeCost,2218,core.js,meta_calculateUpgradeCost,保留,,,计算升级成本
方法,core.js,Game.meta_buyUpgrade,2229,core.js,meta_buyUpgrade,保留,,,购买升级
方法,core.js,Game.ui_playResourceFlyEffect,953,core.js,ui_playResourceFlyEffect,保留,,,资源飞行效果
方法,core.js,Game.ui_openTruthBook,1222,core.js,ui_openTruthBook,保留,,,打开真理之书
方法,core.js,Game.ui_closeTruthBook,1230,core.js,ui_closeTruthBook,保留,,,关闭真理之书
方法,core.js,Game.ui_updateSlowMotion,1410,core.js,ui_updateSlowMotion,保留,,,更新慢动作
方法,core.js,Game.ui_updateMetaCurrency,2118,core.js,ui_updateMetaCurrency,保留,,,更新元货币
方法,core.js,Game.ui_renderShop,2146,core.js,ui_renderShop,保留,,,渲染商店
方法,core.js,Game.triggerScreenShake,3097,core.js,triggerScreenShake,保留,,,触发屏幕震动
方法,core.js,Game.checkLineIntersection,3104,core.js,checkLineIntersection,保留,,,检查线段相交
方法,core.js,Game.isBowtieShape,3122,core.js,isBowtieShape,保留,,,检查蝴蝶结形状
方法,core.js,Game.getLineIntersectionPoint,3741,core.js,getLineIntersectionPoint,保留,,,获取线段交点
方法,core.js,Game.calc_getPeakAverageDamage,1244,core.js,calc_getPeakAverageDamage,保留,,,计算峰值平均伤害
方法,core.js,Game.calc_evaluateAndAdjustDifficulty,1316,core.js,calc_evaluateAndAdjustDifficulty,保留,,,评估调整难度
方法,core.js,Game.calc_calculateDynamicThreshold,1364,core.js,calc_calculateDynamicThreshold,保留,,,计算动态阈值
方法,core.js,Game.calc_isAreaOccupied,2617,core.js,calc_isAreaOccupied,保留,,,检查区域占用
方法,core.js,Game.calc_calculateWaveSpeed,5108,core.js,calc_calculateWaveSpeed,保留,,,计算波速
方法,core.js,Game.phase_switchPhase,5169,core.js,phase_switchPhase,保留,,,阶段切换(核心)
方法,core.js,Game.input_getTiltOffset,5959,core.js,input_getTiltOffset,保留,,,获取倾斜偏移
方法,core.js,Game.input_checkEnemyHover,6048,core.js,input_checkEnemyHover,保留,,,检查敌人悬停
方法,core.js,Game.input_handleInputEnd,6089,core.js,input_handleInputEnd,保留,,,处理输入结束
方法,core.js,Game.input_handleInputMove,6147,core.js,input_handleInputMove,保留,,,处理输入移动
方法,core.js,Game.input_checkDefeat,7349,core.js,input_checkDefeat,保留,,,检查失败
方法,core.js,Game.camera_enableDistantView,8362,core.js,camera_enableDistantView,保留,,,启用远景
方法,core.js,Game.camera_disableDistantView,8371,core.js,camera_disableDistantView,保留,,,禁用远景
方法,core.js,Game.sys_initSelectionPhase,5355,phases.js,SelectionPhase.init(),待迁移,,,选择阶段初始化
方法,core.js,Game.sys_toggleMarbleSelection,5447,phases.js,SelectionPhase.toggleMarbleSelection(),待迁移,,,切换弹珠选择
方法,core.js,Game.spawn_generateMarbleOptions,5373,phases.js,SelectionPhase.generateMarbleOptions(),待迁移,,,生成弹珠选项
方法,core.js,Game.ui_confirmSelection,5467,phases.js,SelectionPhase.confirmSelection(),待迁移,,,确认选择
方法,core.js,Game.phase_startGatheringPhase,5481,phases.js,GatheringPhase.init(),待迁移,,,研磨阶段初始化
方法,core.js,Game.phase_gathering_initPachinko,5733,phases.js,GatheringPhase.initPachinko(),待迁移,,,初始化弹珠机
方法,core.js,Game.phase_gathering_getRandomPegType,5837,phases.js,GatheringPhase.getRandomPegType(),待迁移,,,获取随机钉子类型
方法,core.js,Game.phase_gathering_update,8084,phases.js,GatheringPhase.update(),待迁移,,,研磨阶段更新(278行)
方法,core.js,Game.phase_gathering_attemptComplete,7879,phases.js,GatheringPhase.attemptComplete(),待迁移,,,尝试完成研磨
方法,core.js,Game.sys_initRecipeHUD,5515,phases.js,GatheringPhase.initRecipeHUD(),待迁移,,,初始化配方HUD
方法,core.js,Game.sys_toggleHud,5524,phases.js,GatheringPhase.toggleHud(),待迁移,,,切换HUD
方法,core.js,Game.ui_renderRecipeHUD,5536,phases.js,GatheringPhase.renderRecipeHUD(),待迁移,,,渲染配方HUD
方法,core.js,Game.ui_renderRecipeCard,5634,phases.js,GatheringPhase.renderRecipeCard(),待迁移,,,渲染配方卡片
方法,core.js,Game.ui_updateGatheringQueueUI,7026,phases.js,GatheringPhase.updateGatheringQueueUI(),待迁移,,,更新研磨队列UI
方法,core.js,Game.phase_startCombatPhase,5878,phases.js,CombatPhase.init(),待迁移,,,战斗阶段初始化
方法,core.js,Game.combat_calculatePlayerExpectedDamage,1267,phases.js,CombatPhase.calculatePlayerExpectedDamage(),待迁移,,,计算玩家预期伤害
方法,core.js,Game.combat_reportDamage,1357,phases.js,CombatPhase.reportDamage(),待迁移,,,报告伤害
方法,core.js,Game.combat_createFloatingText,2448,phases.js,CombatPhase.createFloatingText(),待迁移,,,创建浮动文字
方法,core.js,Game.combat_updateMulticastDisplay,2456,phases.js,CombatPhase.updateMulticastDisplay(),待迁移,,,更新多重施法显示
方法,core.js,Game.combat_playMulticastTransferEffect,2489,phases.js,CombatPhase.playMulticastTransferEffect(),待迁移,,,播放多重施法转移效果
方法,core.js,Game.spawn_generateAffixes,2550,phases.js,CombatPhase.generateAffixes(),待迁移,,,生成词缀
方法,core.js,Game.spawn_spawnEnemyRowAt,2658,phases.js,CombatPhase.spawnEnemyRowAt(),待迁移,,,在指定位置生成敌人行(214行)
方法,core.js,Game.spawn_addSkillPoint,2872,phases.js,CombatPhase.addSkillPoint(),待迁移,,,添加技能点
方法,core.js,Game.combat_activateSkill,2884,phases.js,CombatPhase.activateSkill(),待迁移,,,激活技能
方法,core.js,Game.spawn_spawnEnemyRow,3004,phases.js,CombatPhase.spawnEnemyRow(),待迁移,,,生成敌人行
方法,core.js,Game.spawn_triggerCloneSpawn,3010,phases.js,CombatPhase.triggerCloneSpawn(),待迁移,,,触发分身生成
方法,core.js,Game.combat_flyingSword_assignTarget,3042,phases.js,CombatPhase.flyingSword_assignTarget(),待迁移,,,飞剑分配目标
方法,core.js,Game.combat_flyingSword_addSon,3061,phases.js,CombatPhase.flyingSword_addSon(),待迁移,,,飞剑添加子剑
方法,core.js,Game.combat_wind_addAnchor,3135,phases.js,CombatPhase.wind_addAnchor(),待迁移,,,风技能添加锚点
方法,core.js,Game.spawn_smallWhirlwind,3153,phases.js,CombatPhase.spawnSmallWhirlwind(),待迁移,,,生成小旋风
方法,core.js,Game.combat_wind_triggerSmallWhirlwindDamage,3187,phases.js,CombatPhase.wind_triggerSmallWhirlwindDamage(),待迁移,,,触发小旋风伤害(130行)
方法,core.js,Game.combat_wind_executeCircleEffect,3317,phases.js,CombatPhase.wind_executeCircleEffect(),待迁移,,,执行圆形风效果(361行)
方法,core.js,Game.combat_wind_spawnStormCore,3678,phases.js,CombatPhase.wind_spawnStormCore(),待迁移,,,生成风暴核心
方法,core.js,Game.spawn_stormCore,3998,phases.js,CombatPhase.spawnStormCore(),待迁移,,,生成风暴核心
方法,core.js,Game.combat_damageEnemy,4222,phases.js,CombatPhase.damageEnemy(),待迁移,,,伤害敌人(416行-最大方法)
方法,core.js,Game.phase_advanceWave,4638,phases.js,CombatPhase.advanceWave(),待迁移,,,推进波次
方法,core.js,Game.spawn_addScore,4697,phases.js,CombatPhase.addScore(),待迁移,,,添加分数
方法,core.js,Game.sys_resetMultiplier,4718,phases.js,CombatPhase.resetMultiplier(),待迁移,,,重置倍率
方法,core.js,Game.ui_updateMultiplierUI,4728,phases.js,CombatPhase.updateMultiplierUI(),待迁移,,,更新倍率UI
方法,core.js,Game.ui_saveShotDamage,4743,phases.js,CombatPhase.saveShotDamage(),待迁移,,,保存射击伤害
方法,core.js,Game.ui_updateRoundDamage,4762,phases.js,CombatPhase.updateRoundDamage(),待迁移,,,更新回合伤害
方法,core.js,Game.ui_updateDamageStats,4810,phases.js,CombatPhase.updateDamageStats(),待迁移,,,更新伤害统计(180行)
方法,core.js,Game.ui_toggleDamagePanel,5003,phases.js,CombatPhase.toggleDamagePanel(),待迁移,,,切换伤害面板(105行)
方法,core.js,Game.ui_showRelicSelection,5195,phases.js,CombatPhase.showRelicSelection(),待迁移,,,显示遗物选择(82行)
方法,core.js,Game.ui_selectRelic,5277,phases.js,CombatPhase.selectRelic(),待迁移,,,选择遗物
方法,core.js,Game.ui_closeRelicSelection,5334,phases.js,CombatPhase.closeRelicSelection(),待迁移,,,关闭遗物选择
方法,core.js,Game.data_clearProjectiles,5915,phases.js,CombatPhase.clearProjectiles(),待迁移,,,清空投射物
方法,core.js,Game.spawn_createParticle,5936,phases.js,CombatPhase.createParticle(),待迁移,,,创建粒子
方法,core.js,Game.combat_lightning_triggerChain,6196,phases.js,CombatPhase.lightning_triggerChain(),待迁移,,,触发闪电链
方法,core.js,Game.combat_fireNextShot,6297,phases.js,CombatPhase.fireNextShot(),待迁移,,,发射下一发
方法,core.js,Game.spawn_spawnBullet,6367,phases.js,CombatPhase.spawnBullet(),待迁移,,,生成子弹(140行)
方法,core.js,Game.combat_laser_fire,6507,phases.js,CombatPhase.laser_fire(),待迁移,,,发射激光
方法,core.js,Game.combat_laser_castRay,6626,phases.js,CombatPhase.laser_castRay(),待迁移,,,投射激光射线
方法,core.js,Game.combat_laser_processPenetration,6697,phases.js,CombatPhase.laser_processPenetration(),待迁移,,,处理激光穿透
方法,core.js,Game.calc_getLineRectIntersection,6750,phases.js,CombatPhase.getLineRectIntersection(),待迁移,,,获取线段矩形交点
方法,core.js,Game.spawn_createExplosion,6782,phases.js,CombatPhase.createExplosion(),待迁移,,,创建爆炸
方法,core.js,Game.spawn_createShockwave,6794,phases.js,CombatPhase.createShockwave(),待迁移,,,创建冲击波
方法,core.js,Game.ui_updateUICache,6801,phases.js,CombatPhase.updateUICache(),待迁移,,,更新UI缓存
方法,core.js,Game.spawn_createHitFeedback,6827,phases.js,CombatPhase.createHitFeedback(),待迁移,,,创建击中反馈(98行)
方法,core.js,Game.spawn_triggerLevelUpEvent,6925,phases.js,CombatPhase.triggerLevelUpEvent(),待迁移,,,触发升级事件
方法,core.js,Game.calc_compileCollectionToRecipe,6963,phases.js,CombatPhase.compileCollectionToRecipe(),待迁移,,,编译收集到配方(63行)
方法,core.js,Game.combat_updateHitProgress,7044,phases.js,CombatPhase.updateHitProgress(),待迁移,,,更新击中进度
方法,core.js,Game.ui_updateAmmoUI,7068,phases.js,CombatPhase.updateAmmoUI(),待迁移,,,更新弹药UI
方法,core.js,Game.ui_renderAmmoIcon,7114,phases.js,CombatPhase.renderAmmoIcon(),待迁移,,,渲染弹药图标
方法,core.js,Game.phase_enemy_processTurn,7167,phases.js,CombatPhase.enemy_processTurn(),待迁移,,,敌人处理回合(64行)
方法,core.js,Game.phase_enemy_startLogic,7231,phases.js,CombatPhase.enemy_startLogic(),待迁移,,,敌人开始逻辑
